CALENDAR_MONTH_END_DATE,APC_Finished_Consultant,APC_FCEs_with_a_procedure,APC_Percent_FCEs_with_procedure,APC_Ordinary_Episodes,APC_Day_Case_Episodes,APC_Day_Case_Episodes_with_proc,APC_Percent_Day_Cases_with_proc,APC_Finished_Admission_Episodes,APC_Emergency,Outpatient_Total_Appointments,Outpatient_Attended_Appointments,Outpatient_Percent_Attended,Outpatient_DNA_Appointment,Outpatient_Percent_DNA,Outpatient_Follow_Up_Attendance,Outpatient_Attendance_Type_1,Outpatient_Attendance_Type_2
17-Jul,1669675,1001538,0.6,1077139,592536,559980,0.95,1394100,504156,9898177,7798830,0.79,666218,0.07,2.1691408,2453270,5321488
17-Jun,1689768,1028483,0.61,1070134,619634,585915,0.95,1413028,498760,10380709,8179386,0.79,708847,0.07,2.1688989,2573107,5580809
17-May,1705329,1019762,0.6,1095129,610200,577181,0.95,1422904,516870,10332866,8182897,0.79,697023,0.07,2.1822039,2563414,5593892
17-Apr,1542141,915236,0.59,1008223,533918,505895,0.95,1284679,476051,8823266,6964955,0.79,576668,0.07,2.1879151,2177946,4765161
17-Mar,1764865,1072496,0.61,1108047,656818,620462,0.94,1480331,517510,10689225,8504556,0.8,671108,0.06,2.2214633,2630738,5844088
17-Feb,1551932,941880,0.61,979510,572422,541820,0.95,1296277,453487,9371798,7456806,0.8,592799,0.06,2.2278037,2302188,5128823
17-Jan,1662542,986073,0.59,1061402,601140,568925,0.95,1380585,499229,10137971,8039995,0.79,683934,0.07,2.2499062,2465301,5546696
16-Dec,1599382,929480,0.58,1057897,541485,512372,0.95,1327208,503406,8868694,6973278,0.79,604696,0.07,2.2093388,2165174,4783603
16-Nov,1699903,1033394,0.61,1067212,632691,599062,0.95,1429895,498680,10582893,8443102,0.8,701045,0.07,2.2098187,2620987,5791906
16-Oct,1654372,993693,0.6,1063120,591252,559550,0.95,1389153,496740,9870356,7828198,0.79,654394,0.07,2.1893753,2446233,5355722
16-Sep,1639572,999801,0.61,1039461,600111,568616,0.95,1384090,482852,10136089,7991899,0.79,693707,0.07,2.2085265,2482625,5482943
16-Aug,1623829,987564,0.61,1034914,588915,557810,0.95,1362976,478376,9748156,7688644,0.79,671079,0.07,2.2017479,2393378,5269615
16-Jul,1641434,989612,0.6,1061064,580370,549792,0.95,1382493,493733,9516030,7514599,0.79,659145,0.07,2.199965,2340115,5148171
16-Jun,1661686,1014759,0.61,1050786,610900,579290,0.95,1402133,487720,10257542,8107893,0.79,715847,0.07,2.1934853,2529954,5549417
16-May,1629157,976138,0.6,1053678,575479,545785,0.95,1372030,497322,9697897,7736322,0.8,659739,0.07,2.195304,2411983,5295036
16-Apr,1598233,968004,0.61,1023352,574881,546129,0.95,1339496,474179,9702261,7659009,0.79,630516,0.06,2.2425111,2352861,5276317
